23
0,ID,SHIFT,4
0,NUMBER,SHIFT,5
0,(,SHIFT,6
1,$,ACCEPT,0
2,+,SHIFT,8
2,-,SHIFT,9
2,),REDUCE,4
2,$,REDUCE,4
3,+,REDUCE,8
3,-,REDUCE,8
3,*,SHIFT,11
3,/,SHIFT,12
3,),REDUCE,8
3,$,REDUCE,8
4,+,REDUCE,9
4,-,REDUCE,9
4,*,REDUCE,9
4,/,REDUCE,9
4,),REDUCE,9
4,$,REDUCE,9
5,+,REDUCE,10
5,-,REDUCE,10
5,*,REDUCE,10
5,/,REDUCE,10
5,),REDUCE,10
5,$,REDUCE,10
6,ID,SHIFT,4
6,NUMBER,SHIFT,5
6,(,SHIFT,6
7,),REDUCE,1
7,$,REDUCE,1
8,ID,SHIFT,4
8,NUMBER,SHIFT,5
8,(,SHIFT,6
9,ID,SHIFT,4
9,NUMBER,SHIFT,5
9,(,SHIFT,6
10,+,REDUCE,5
10,-,REDUCE,5
10,),REDUCE,5
10,$,REDUCE,5
11,ID,SHIFT,4
11,NUMBER,SHIFT,5
11,(,SHIFT,6
12,ID,SHIFT,4
12,NUMBER,SHIFT,5
12,(,SHIFT,6
13,),SHIFT,18
14,+,SHIFT,8
14,-,SHIFT,9
14,),REDUCE,4
14,$,REDUCE,4
15,+,SHIFT,8
15,-,SHIFT,9
15,),REDUCE,4
15,$,REDUCE,4
16,+,REDUCE,8
16,-,REDUCE,8
16,*,SHIFT,11
16,/,SHIFT,12
16,),REDUCE,8
16,$,REDUCE,8
17,+,REDUCE,8
17,-,REDUCE,8
17,*,SHIFT,11
17,/,SHIFT,12
17,),REDUCE,8
17,$,REDUCE,8
18,+,REDUCE,11
18,-,REDUCE,11
18,*,REDUCE,11
18,/,REDUCE,11
18,),REDUCE,11
18,$,REDUCE,11
19,),REDUCE,2
19,$,REDUCE,2
20,),REDUCE,3
20,$,REDUCE,3
21,+,REDUCE,6
21,-,REDUCE,6
21,),REDUCE,6
21,$,REDUCE,6
22,+,REDUCE,7
22,-,REDUCE,7
22,),REDUCE,7
22,$,REDUCE,7
